Household No.,DIS,Relationship,Gender,Age,Marital status,Educational Level,Ethnicity,Employment status,Employment_sector,Income PP,Income FP,Income SP,Income TP,neighborhood_shop,main_super_market,mini_super_market,home_delivery,own_field,govt_ngo,online,neighbors,fairs,bank_city,bank_near,local_financial,atm_city,atm_near,online_banking,post_office,work_from_home,come_from_home,come_from_renthouse,come_from_commonhostel,work_public,work_shared,work_hired,work_own_motor,work_bicycle,work_walking
708,Galle,1,2,2,2,4,3,2,4,3,2,2,2,-2.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
709,Puttalam,1,2,3,2,4,1,10,10,3,1,1,1,0.5,1.0,-0.5,1.0,1.0,1.0,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
710,Gampaha,2,1,1,2,4,1,6,0,1,1,1,1,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.5
711,Gampaha,1,2,3,2,3,1,1,7,2,2,2,2,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
712,Galle,2,1,3,2,4,1,6,0,3,2,2,2,-4.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
714,Galle,1,2,2,2,4,1,6,0,3,3,3,3,-2.0,2.0,2.0,-0.5,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
715,Gampaha,1,1,5,3,4,1,6,0,2,2,2,2,-4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
716,Galle,1,2,3,2,4,1,3,10,3,3,3,3,-0.5,1.0,0.5,0.5,-0.5,0.5,1.0,-0.5,1.0,-1.0,1.0,0.5,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
717,Galle,1,2,1,2,4,1,3,10,3,1,1,2,0.5,-1.0,1.0,-0.5,-2.5,0.0,-0.5,0.5,1.0,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
718,Colombo,2,1,4,3,4,3,6,0,2,1,2,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
719,Galle,1,2,1,2,4,1,10,10,3,2,2,2,0.0,1.0,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
720,Kandy,1,2,3,1,4,2,1,6,3,1,1,3,1.0,1.0,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,-0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.5,1.0
721,Galle,3,2,3,2,4,1,2,10,3,2,2,2,-1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,4.0,1.0,1.0,-2.0,1.0,1.0,-0.5,1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-0.5,1.0,1.0
722,Galle,2,1,3,2,4,1,6,0,3,3,3,3,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
724,Galle,1,2,2,2,5,1,3,3,3,2,2,2,-1.0,1.0,1.0,-3.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-0.5,-0.5,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
725,Kegalle,1,2,3,2,4,1,10,4,2,1,1,1,-1.0,1.0,1.0,-0.5,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-0.5,-1.0,1.0,1.0,1.0,1.0,1.0,-0.5,0.5,1.0
726,Kegalle,3,2,1,2,4,3,3,10,2,1,2,2,-1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
727,Gampaha,1,2,2,2,5,1,3,4,1,1,1,1,2.5,-0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
728,Kegalle,1,2,5,2,4,3,3,3,3,1,1,1,-0.5,1.0,1.0,0.0,1.0,0.5,1.0,-0.5,2.5,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,0.5,-1.0,1.0,-1.0,1.0,0.5,1.0,1.0,1.0
729,Kegalle,1,2,4,2,4,3,3,8,3,1,1,1,-0.5,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,1.0,1.0,3.5,1.0,2.0,1.0,1.0,1.0
730,Kegalle,2,1,2,2,5,3,10,10,3,3,3,3,-2.5,2.5,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
732,Kandy,1,1,3,2,4,2,6,0,3,2,2,2,0.5,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,-1.5,1.0,1.0,-2.0,1.0,1.0,0.5,1.0,3.5,1.0,1.0,1.0,5.0,1.0,-1.0,1.0,1.0
733,Kegalle,1,2,3,2,5,3,10,10,3,1,1,2,-0.5,0.5,1.0,0.5,1.0,0.0,1.0,-0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
734,Kegalle,1,2,3,2,5,3,10,10,3,2,2,2,-3.5,2.5,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.5,1.0,-2.0,1.0,1.0,1.0
735,Kandy,1,2,6,2,3,2,9,3,2,1,1,1,3.5,1.0,1.0,-1.0,1.0,1.0,1.0,-3.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,4.5,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0
736,Kegalle,1,1,5,3,4,1,10,10,2,2,2,2,-1.0,1.0,1.0,-0.5,-0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
737,Kegalle,1,2,2,2,5,1,10,10,3,3,3,3,-2.5,2.5,0.5,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
738,Anuradhapura,1,2,6,2,4,1,6,0,5,5,5,5,-0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-2.0,1.0,-2.0,1.0,-3.5,3.5,1.0,1.0,2.5,-1.0,1.0,1.0,1.0,1.0
739,Kegalle,2,1,2,2,5,1,6,0,2,1,1,1,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,2.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
740,Kegalle,1,2,2,2,4,1,10,10,3,1,2,2,-0.5,1.0,0.5,1.0,-0.5,0.0,1.0,-0.5,1.0,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,-0.5,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
741,Anuradhapura,1,2,4,2,4,3,3,9,3,2,2,2,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
742,Anuradhapura,1,2,2,2,4,1,3,9,3,2,2,2,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,1.0,1.0,-2.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
743,Anuradhapura,1,2,3,2,4,1,8,9,3,3,2,2,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
744,Anuradhapura,1,2,3,2,4,1,3,10,3,3,3,3,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,-2.0,-2.5,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
745,Anuradhapura,1,2,4,2,4,1,3,9,3,3,3,3,-1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
746,Matara,1,2,3,2,4,1,3,8,3,1,3,3,-0.5,1.0,-0.5,0.5,-0.5,0.5,0.5,0.5,1.0,-1.0,1.0,-0.5,-0.5,1.0,-0.5,1.0,1.0,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
748,Matara,2,1,2,2,4,1,10,10,3,3,3,3,-0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
749,Vauniya,1,2,3,2,4,1,1,10,5,5,5,5,-1.0,0.5,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-0.5,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,3.5,1.0,1.0
750,Gampaha,1,2,7,2,4,1,6,0,2,2,2,2,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
751,Vauniya,1,2,2,2,4,1,1,10,3,2,2,3,-0.5,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
752,Matara,3,1,3,2,4,1,9,10,2,1,1,1,2.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.5,1.0,1.0,1.0,3.5,1.0,1.0,1.0,1.0,0.5,3.5,1.0,1.0
753,Matara,1,2,4,2,4,1,3,10,2,2,2,2,-1.0,1.0,1.0,-0.5,1.0,2.0,1.0,1.0,4.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
754,Vauniya,1,2,4,2,4,1,3,9,3,2,2,2,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.5,3.5,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
